"","pN(Vert)","qC","pNHoriz","qN"
"353",0.2816,0.414355322338831,0.50713501177448,0.297672863568216
"354",0.2824,0.415043900955233,0.508124675455618,0.297835503325475
"355",0.2832,0.415730862264393,0.509112351910589,0.297995882071117
"356",0.284,0.416416211957632,0.510098045129705,0.298154007761664
"357",0.2848,0.417099955699597,0.511081759095268,0.298309888316351
"358",0.2856,0.41778209912842,0.512063497781579,0.298463531617343
"359",0.2864,0.418462647855872,0.513043265154965,0.29861494550995
"360",0.2872,0.419141607467515,0.514021065173784,0.298764137802845
"361",0.288,0.419818983522859,0.514996901788447,0.298911116268276
"362",0.2888,0.420494781555508,0.515970778941433,0.299055888642277
"363",0.2896,0.421169007073315,0.516942700567306,0.299198462624883
"364",0.2904,0.42184166555853,0.517912670592725,0.299338845880333
"365",0.2912,0.422512762467949,0.518880692936469,0.299477046037283
"366",0.292,0.423182303233063,0.519846771509447,0.299613070689009
"367",0.2928,0.423850293260201,0.520810910214712,0.299746927393614
"368",0.2936,0.424516737930677,0.521773112947485,0.29987862367423
"369",0.2944,0.425181642600938,0.522733383595161,0.300008167019222
"370",0.2952,0.425845012602702,0.52369172603733,0.300135564882384
"371",0.296,0.426506853243104,0.524648144145794,0.300260824683145
"372",0.2968,0.427167169804836,0.525602641784578,0.300383953806761
"373",0.2976,0.427825967546289,0.526555222809951,0.300504959604513
"374",0.2984,0.428483251701691,0.527505891070435,0.300623849393906
"375",0.2992,0.429139027481247,0.528454650406826,0.300740630458858
"376",0.3,0.429793300071276,0.52940150465221,0.300855310049893
"377",0.3008,0.430446074634346,0.530346457631972,0.300967895384335
"378",0.3016,0.431097356309415,0.531289513163819,0.301078393646495
"379",0.3024,0.431747150211958,0.532230675057791,0.301186811987862
"380",0.3032,0.43239546143411,0.533169947116277,0.301293157527288
"381",0.304,0.43304229504479,0.534107333134031,0.301397437351174
"382",0.3048,0.43368765608984,0.535042836898188,0.301499658513657
"383",0.3056,0.434331549592153,0.535976462188277,0.301599828036791
"384",0.3064,0.434973980551804,0.536908212776241,0.301697952910731
"385",0.3072,0.43561495394618,0.537838092426445,0.301794040093914
"386",0.308,0.436254474730107,0.538766104895698,0.301888096513234
"387",0.3088,0.436892547835978,0.539692253933263,0.301980129064228
"388",0.3096,0.437529178173882,0.540616543280878,0.302070144611248
"389",0.3104,0.438164370631728,0.541538976672765,0.30215814998764
"390",0.3112,0.438798130075369,0.542459557835647,0.302244151995914
"391",0.312,0.43943046134873,0.543378290488767,0.302328157407926
"392",0.3128,0.440061369273928,0.544295178343897,0.302410172965043
"393",0.3136,0.440690858651394,0.545210225105357,0.302490205378317
"394",0.3144,0.441318934259999,0.546123434470029,0.302568261328655
"395",0.3152,0.441945600857172,0.547034810127371,0.302644347466991
"396",0.316,0.442570863179018,0.547944355759433,0.302718470414448
"397",0.3168,0.443194725940444,0.548852075040873,0.302790636762511
"398",0.3176,0.44381719383527,0.549757971638967,0.302860853073188
"399",0.3184,0.44443827153635,0.55066204921363,0.302929125879176
"400",0.3192,0.445057963695692,0.551564311417426,0.302995461684027
"401",0.32,0.445676274944568,0.552464761895588,0.303059866962306
"402",0.3208,0.446293209893633,0.553363404286025,0.303122348159755
"403",0.3216,0.446908773133041,0.554260242219344,0.303182911693455
"404",0.3224,0.447522969232554,0.555155279318861,0.303241563951979
"405",0.3232,0.448135802741661,0.556048519200618,0.303298311295556
"406",0.324,0.448747278189686,0.556939965473393,0.303353160056228
"407",0.3248,0.4493574000859,0.55782962173872,0.303406116538
"408",0.3256,0.449966172919635,0.5587174915909,0.303457187017002
"409",0.3264,0.450573601160389,0.559603578617017,0.303506377741638
"410",0.3272,0.45117968925794,0.560487886396954,0.303553694932742
"411",0.328,0.451784441642454,0.561370418503403,0.303599144783729
"412",0.3288,0.452387862724589,0.562251178501883,0.303642733460744
"413",0.3296,0.452989956895609,0.563130169950753,0.303684467102816
"414",0.3304,0.453590728527482,0.564007396401229,0.303724351822002
"415",0.3312,0.454190181972993,0.564882861397395,0.303762393703538
"416",0.332,0.454788321565848,0.565756568476216,0.303798598805986
"417",0.3328,0.455385151620774,0.56662852116756,0.30383297316138
"418",0.3336,0.455980676433627,0.567498722994202,0.303865522775369
"419",0.3344,0.456574900281494,0.568367177471847,0.303896253627363
"420",0.3352,0.457167827422796,0.569233888109138,0.303925171670675
"421",0.336,0.457759462097386,0.570098858407675,0.303952282832665
"422",0.3368,0.458349808526657,0.570962091862025,0.303977593014879
"423",0.3376,0.458938870913636,0.571823591959738,0.304001108093192
"424",0.3384,0.459526653443085,0.572683362181363,0.304022833917945
"425",0.3392,0.460113160281605,0.573541406000459,0.304042776314085
"426",0.34,0.460698395577727,0.574397726883608,0.3040609410813
"427",0.3408,0.461282363462015,0.575252328290435,0.30407733399416
"428",0.3416,0.461865068047162,0.576105213673616,0.304091960802252
"429",0.3424,0.462446513428086,0.576956386478895,0.304104827230309
"430",0.3432,0.463026703682026,0.577805850145094,0.304115938978355
"431",0.344,0.463605642868637,0.578653608104135,0.304125301721826
"432",0.3448,0.464183335030086,0.579499663781045,0.304132921111712
"433",0.3456,0.464759784191145,0.580344020593974,0.304138802774685
