"","rep.NA..length.out_f...1...","rep.NA..length.out_f...1....1","rep.NA..length.out_f...1....2"
"1042",0.805329498416372,0.873047039626346,0.889549180326183
"1043",0.805512092534957,0.873099100770709,0.889549180326228
"1044",0.805694177200568,0.873150981224271,0.889549180326272
"1045",0.805875754230462,0.873202681714145,0.889549180326315
"1046",0.806056825434107,0.873254202963915,0.889549180326356
"1047",0.806237392613223,0.873305545693656,0.889549180326397
"1048",0.806417457561815,0.873356710619954,0.889549180326436
"1049",0.80659702206621,0.873407698455928,0.889549180326475
"1050",0.806776087905092,0.87345850991125,0.889549180326512
"1051",0.806954656849543,0.873509145692162,0.889549180326548
"1052",0.807132730663083,0.873559606501501,0.889549180326584
"1053",0.807310311101699,0.873609893038716,0.889549180326618
"1054",0.807487399913879,0.873660005999889,0.889549180326652
"1055",0.807663998840647,0.873709946077752,0.889549180326685
"1056",0.807840109615606,0.87375971396171,0.889549180326717
"1057",0.808015733964969,0.873809310337857,0.889549180326747
"1058",0.808190873607595,0.873858735889,0.889549180326778
"1059",0.80836553025502,0.873907991294671,0.889549180326807
"1060",0.808539705611496,0.873957077231153,0.889549180326836
"1061",0.808713401374025,0.874005994371494,0.889549180326864
"1062",0.808886619232393,0.87405474338553,0.889549180326891
"1063",0.809059360869206,0.874103324939897,0.889549180326918
"1064",0.80923162795992,0.874151739698056,0.889549180326943
"1065",0.809403422172881,0.874199988320309,0.889549180326968
"1066",0.809574745169348,0.874248071463817,0.889549180326993
"1067",0.809745598603538,0.874295989782616,0.889549180327017
"1068",0.80991598412266,0.874343743927638,0.88954918032704
"1069",0.810085903366944,0.87439133454673,0.889549180327062
"1070",0.810255357969669,0.874438762284667,0.889549180327085
"1071",0.8104243495572,0.874486027783172,0.889549180327106
"1072",0.810592879749023,0.874533131680934,0.889549180327127
"1073",0.810760950157778,0.874580074613626,0.889549180327147
"1074",0.810928562389289,0.874626857213919,0.889549180327167
"1075",0.811095718042594,0.874673480111503,0.889549180327186
"1076",0.811262418709982,0.874719943933102,0.889549180327205
"1077",0.811428665977023,0.87476624930249,0.889549180327224
"1078",0.811594461422599,0.87481239684051,0.889549180327242
"1079",0.811759806618941,0.874858387165088,0.889549180327259
"1080",0.811924703131652,0.874904220891253,0.889549180327276
"1081",0.812089152519745,0.87494989863115,0.889549180327292
"1082",0.812253156335668,0.874995420994059,0.889549180327308
"1083",0.812416716125341,0.875040788586408,0.889549180327324
"1084",0.812579833428191,0.875086002011794,0.889549180327339
"1085",0.812742509777175,0.875131061870994,0.889549180327354
"1086",0.81290474669881,0.875175968761983,0.889549180327368
"1087",0.813066545713204,0.875220723279951,0.889549180327382
"1088",0.81322790833409,0.875265326017317,0.889549180327396
"1089",0.813388836068857,0.875309777563745,0.889549180327409
"1090",0.813549330418577,0.875354078506159,0.889549180327422
"1091",0.813709392878031,0.875398229428759,0.889549180327435
"1092",0.813869024935745,0.875442230913038,0.889549180327447
"1093",0.814028228074019,0.875486083537793,0.889549180327459
"1094",0.814187003768954,0.875529787879143,0.889549180327471
"1095",0.814345353490484,0.875573344510544,0.889549180327482
"1096",0.814503278702404,0.875616754002803,0.889549180327493
"1097",0.814660780862396,0.875660016924092,0.889549180327504
"1098",0.814817861422062,0.875703133839966,0.889549180327515
"1099",0.814974521826948,0.875746105313374,0.889549180327525
"1100",0.815130763516583,0.875788931904673,0.889549180327535
"1101",0.815286587924501,0.875831614171647,0.889549180327544
"1102",0.815441996478265,0.875874152669516,0.889549180327554
"1103",0.815596990599496,0.875916547950955,0.889549180327563
"1104",0.815751571703907,0.875958800566105,0.889549180327572
"1105",0.815905741201328,0.876000911062585,0.889549180327581
"1106",0.816059500495734,0.876042879985513,0.88954918032759
