,time,S_C,I_C,S_N,I_N
260,388.5,60.76497689,1.213443856,664.690176,23.33140324
261,390,60.73029886,1.219317188,664.6140683,23.43631564
262,391.5,60.69579903,1.225208227,664.5373057,23.54168699
263,393,60.66147772,1.231117089,664.4598862,23.647519
264,394.5,60.62733525,1.237043892,664.3818075,23.75381334
265,396,60.59337195,1.242988754,664.3030676,23.86057172
266,397.5,60.55958813,1.248951794,664.2236642,23.96779584
267,399,60.52598414,1.25493313,664.1435953,24.07548742
268,400.5,60.49256029,1.260932881,664.0628587,24.18364815
269,402,60.45931691,1.266951167,663.9814522,24.29227976
270,403.5,60.42625433,1.272988107,663.8993736,24.40138397
271,405,60.39337288,1.279043824,663.8166208,24.51096249
272,406.5,60.3606729,1.285118437,663.7331916,24.62101706
273,408,60.3281547,1.291212069,663.6490838,24.73154941
274,409.5,60.29581864,1.29732484,663.5642953,24.84256126
275,411,60.26366503,1.303456874,663.4788237,24.95405437
276,412.5,60.23169421,1.309608294,663.392667,25.06603047
277,414,60.19990653,1.315779223,663.3058229,25.17849132
278,415.5,60.1683023,1.321969785,663.2182893,25.29143865
279,417,60.13688187,1.328180105,663.1300638,25.40487423
280,418.5,60.10564559,1.334410306,663.0411443,25.51879981
281,420,60.07459377,1.340660516,662.9515285,25.63321716
282,421.5,60.04372678,1.346930859,662.8612143,25.74812804
283,423,60.01304493,1.353221463,662.7701994,25.86353423
284,424.5,59.98254858,1.359532453,662.6784815,25.97943749
285,426,59.95223807,1.365863958,662.5860584,26.0958396
286,427.5,59.92211374,1.372216106,662.4929278,26.21274235
287,429,59.89217593,1.378589024,662.3990875,26.33014751
288,430.5,59.86242498,1.384982843,662.3045353,26.44805688
289,432,59.83286125,1.391397691,662.2092688,26.56647225
290,433.5,59.80348507,1.397833699,662.1132858,26.68539541
291,435,59.7742968,1.404290997,662.016584,26.80482817
292,436.5,59.74529677,1.410769717,661.9191612,26.92477233
293,438,59.71648535,1.41726999,661.821015,27.04522968
294,439.5,59.68786286,1.423791948,661.7221431,27.16620205
295,441,59.65942968,1.430335725,661.6225433,27.28769125
296,442.5,59.63118614,1.436901454,661.5222133,27.40969909
297,444,59.60313259,1.443489267,661.4211508,27.53222739
